learner,corpus,k_shot,method,mse_mean,mse_sem,mse_ci95,mae_mean,mae_sem,mae_ci95,delta_l2_mean,delta_l2_sem,delta_l2_ci95,delta_geo_mean,delta_geo_sem,delta_geo_ci95,seed_count
B1,T2,8,geo,0.40262196883559226,0.02579454085955093,0.05055730008471983,0.4827718511223793,0.016279534570808184,0.03190788775878404,0.6475584189097087,0.027114223906000018,0.05314387885576003,0.3749359842389822,0.027909543528492377,0.054702705315845056,60
B1,T2,8,inner,0.3931929461658001,0.02041054133104809,0.040004661008854255,0.4813445831338565,0.013555098366042647,0.02656799279744359,0.46045464600125946,0.019282475777397726,0.037793652523699546,0.18966432741532724,0.014118687628072434,0.02767262775102197,60
B1,T2,8,none,0.5566878815491995,0.018116958795428083,0.035509239239039044,0.5943613747755686,0.010881724875769423,0.02132818075650807,0.0,0.0,0.0,0.0,0.0,0.0,60
B1,T2,8,ridge,0.3875515835980574,0.02432052811339381,0.04766823510225186,0.47496625532706577,0.01569804462292704,0.030768167460937,0.5539431179563205,0.023698111792294172,0.04644829911289658,0.37695816985021036,0.02865692355239788,0.05616757016269985,60
B1,T2,16,geo,0.4189449687798818,0.029543299637426527,0.05790486728935599,0.4884854152798653,0.018289670069841193,0.035847753336888735,1.301651699344317,0.044587171279849194,0.08739085570850443,0.3812832978864511,0.021958018716173394,0.04303771668369985,60
B1,T2,16,inner,0.37141983608404794,0.02051372971901669,0.04020691024927271,0.465363439420859,0.014104688936023605,0.027645190314606265,0.9242306997378668,0.03164572961685889,0.06202563004904342,0.19280448127537966,0.011105375848554509,0.021766536663166837,60
B1,T2,16,none,0.5566878815491995,0.018116958795428083,0.035509239239039044,0.5943613747755686,0.010881724875769423,0.02132818075650807,0.0,0.0,0.0,0.0,0.0,0.0,60
B1,T2,16,ridge,0.30582147811849913,0.019625202407822735,0.03846539671933256,0.4190437133113543,0.01413539998499337,0.027705383970587003,0.6708105191588402,0.020646653654925795,0.040467441163654555,0.3289812531322241,0.0206182555343777,0.04041178084738029,60
B1,T2,24,geo,0.5958063586304585,0.05323497411592443,0.10434054926721188,0.5709026336669922,0.025351562446979434,0.04968906239607969,2.319535396496455,0.09003286788191697,0.17646442104855725,0.3917140565812588,0.01994979409167256,0.03910159641967821,60
B1,T2,24,inner,0.42646164844433465,0.030445835015801972,0.059673836630971866,0.490704512099425,0.0178181737857041,0.034923620619980035,1.628189492225647,0.06240473019707633,0.12231327118626961,0.19786661937832833,0.010089059091908954,0.019774555820141548,60
B1,T2,24,none,0.5566878815491995,0.018116958795428083,0.035509239239039044,0.5943613747755686,0.010881724875769423,0.02132818075650807,0.0,0.0,0.0,0.0,0.0,0.0,60
B1,T2,24,ridge,0.25610465556383133,0.013816908448190062,0.02708114055845252,0.3844414472579956,0.011240514554448782,0.02203140852671961,0.6928992614150047,0.020476115981113603,0.04013318732298266,0.3145602537939946,0.017838855330920812,0.03496415644860479,60
B2,T1,1,geo,0.11402871490766604,0.0061251420104535,0.01200527834048886,0.26621035834153495,0.007833373690697974,0.015353412433768029,0.05092353300812344,0.0044690822889144055,0.008759401286272235,0.06323459180578841,0.013527408543639352,0.02651372074553313,60
B2,T1,1,inner,0.10671654337396225,0.005695758089500704,0.01116368585542138,0.2563832168777784,0.0073945446679966565,0.014493307549273447,0.033117441992120196,0.003390751970380737,0.0066458738619462445,0.03199163028022364,0.006843790018082981,0.013413828435442643,60
B2,T1,1,none,0.10374814147750537,0.0056324046632889166,0.011039513140046276,0.2509581744670868,0.007390963554767743,0.014486288567344777,0.0,0.0,0.0,0.0,0.0,0.0,60
B2,T1,1,ridge,0.1167230990404884,0.006348910615150794,0.012443864805695556,0.26963286673029263,0.008069904919590374,0.015817013642397133,0.05091040591263057,0.005210319988663768,0.010212227177780985,0.0756726026622952,0.016206326812360092,0.03176440055222578,60
B2,T1,4,geo,0.22897492659588656,0.0226219797461963,0.04433908030254475,0.3676761776208878,0.01579914707525982,0.030966328267509245,0.3417152600362897,0.030124668950205484,0.059044351142402744,0.07417530955281108,0.006972032203625836,0.013665183119106639,60
B2,T1,4,inner,0.1615510553121567,0.01186321499144289,0.023251901383228062,0.3135053555170695,0.010638977639145255,0.020852396172724698,0.2425250554457307,0.021399105324895445,0.041942246436795075,0.03751802167389542,0.0035271240334270866,0.00691316310551709,60
B2,T1,4,none,0.10374814147750537,0.0056324046632889166,0.011039513140046276,0.2509581744670868,0.007390963554767743,0.014486288567344777,0.0,0.0,0.0,0.0,0.0,0.0,60
B2,T1,4,ridge,0.16440972238779067,0.011389436979174964,0.02232329647918293,0.3158504399160544,0.010599635728204179,0.02077528602728019,0.21074858941137792,0.013132475064068038,0.025739651125573356,0.07516131581117709,0.007720446580198425,0.015132075297188912,60
B2,T1,8,geo,0.31674647380908333,0.11182220133038144,0.2191715146075476,0.3622598407169183,0.03555360193417531,0.0696850597909836,1.495933194210132,0.11819857195252943,0.23166920102695768,0.0810622890945524,0.006463669802673413,0.012668792813239889,60
B2,T1,8,inner,0.1881241589784622,0.05360632846754366,0.10506840379638557,0.29721911425391834,0.023624391001664746,0.0463038063632629,1.0505811726053556,0.0823062779866028,0.1613203048537415,0.04084893569039802,0.0032721439736335726,0.006413402188321802,60
B2,T1,8,none,0.10374814147750537,0.0056324046632889166,0.011039513140046276,0.2509581744670868,0.007390963554767743,0.014486288567344777,0.0,0.0,0.0,0.0,0.0,0.0,60
B2,T1,8,ridge,0.12870798831184704,0.00837029474625068,0.016405777702651333,0.2787537328898907,0.008500409633413746,0.01666080288149094,0.2645543746650219,0.012864372331474947,0.025214169769690896,0.06252776077017189,0.006803732945916737,0.013335316573996805,60
B2,T1,16,geo,0.1466720417762796,0.008042532456750988,0.015763363615231934,0.2978603107233842,0.007998941868058695,0.015677926061395044,4.784693350394567,0.22623639625439118,0.4434233366586067,0.08542808005586267,0.005664162644310295,0.011101758782848177,60
B2,T1,16,inner,0.09701985511928797,0.004156978042585328,0.008147676963467243,0.24391837691267332,0.005144267223667386,0.010082763758388076,3.0666025479634604,0.13075845773945302,0.2562865771693279,0.0418030714460959,0.0028695614105801333,0.005624340364737061,60
B2,T1,16,none,0.10374814147750537,0.0056324046632889166,0.011039513140046276,0.2509581744670868,0.007390963554767743,0.014486288567344777,0.0,0.0,0.0,0.0,0.0,0.0,60
